"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"100nF";"CAPC0603";"C0603";"C5, C7, C9, C15";"";"";
"4";"10K";"RESISTOR0603";"R0603";"R4, R5, R6, R7";"";"";
"2";"10uF";"CAP-POL-ALUMROQANG-RVT0405";"ROQANG-RVT0405";"C13, C14";"";"";
"4";"10uF";"CAPC0603";"C0603";"C6, C8, C11, C16";"";"";
"2";"1uF";"CAPC0603";"C0603";"C2, C4";"";"";
"2";"2.2nF";"CAPC0603";"C0603";"C10, C12";"";"";
"2";"2.2uF";"CAPC0603";"C0603";"C1, C3";"";"";
"2";"470R";"RESISTOR0603";"R0603";"R2, R3";"";"";
"1";"47K";"RESISTOR0603";"R0603";"R1";"";"";
"1";"AP2112K-3,3TRG1";"REGULATOR-AP2112KK-SOT23-5";"SOT23-5";"U1";"";"";
"1";"CONTROL";"HEADER-1X04-2.54";"1X04-2.54";"X6";"";"";
"1";"I2S";"HEADER-1X05-2.54";"1X05-2.54";"X1";"";"";
"1";"JACK";"AUDIO-3.5-SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"X4";"";"";
"4";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"H1, H2, H3, H4";"";"";
"1";"OUTPUT";"HEADER-1X04-2.54";"1X04-2.54";"X5";"";"";
"1";"PCM5102A";"PCM5102APWR";"TSSOP-20";"U2";"";"";
"1";"PWR";"HEADER-1X03-2.54P";"1X03P-2.54";"X3";"";"";
"4";"SHORT-SMD-06096";"SHORT-SMD-06096";"SHORT-SMD-06096";"SH1, SH2, SH3, SH4";"";"";
"1";"USB-MICRO-B-FCI";"USB-MICRO-B-FCI";"USB-MICRO-B-FCI";"X2";"FCI-10118192-0001LF";"";
